id,election_id,person_id,party_id,votes,vote_share,elected,created_at,updated_at
294,62,294,18,1477,46.43,0,2025-12-13 15:06:23,2025-12-13 15:06:23
295,62,295,4,1704,53.57,1,2025-12-13 15:06:23,2025-12-13 15:06:23
296,63,296,23,5557,66.89,1,2025-12-13 15:06:23,2025-12-13 15:06:23
297,63,297,12,1463,17.61,0,2025-12-13 15:06:23,2025-12-13 15:06:23
298,63,298,4,1288,15.5,0,2025-12-13 15:06:23,2025-12-13 15:06:23
299,64,299,18,287,27.81,0,2025-12-13 15:06:23,2025-12-13 15:06:23
300,64,300,4,394,38.18,1,2025-12-13 15:06:23,2025-12-13 15:06:23
301,64,301,4,74,7.17,0,2025-12-13 15:06:23,2025-12-13 15:06:23
302,64,302,4,222,21.51,0,2025-12-13 15:06:23,2025-12-13 15:06:23
303,64,303,4,55,5.33,0,2025-12-13 15:06:23,2025-12-13 15:06:23
304,65,304,40,3004,49.44,1,2025-12-13 15:06:23,2025-12-13 15:06:23
305,65,305,29,760,12.51,0,2025-12-13 15:06:23,2025-12-13 15:06:23
306,65,306,31,633,10.42,0,2025-12-13 15:06:23,2025-12-13 15:06:23
307,65,307,4,1679,27.63,0,2025-12-13 15:06:23,2025-12-13 15:06:23
308,66,308,25,407,27.65,0,2025-12-13 15:06:23,2025-12-13 15:06:23
309,66,309,31,238,16.17,0,2025-12-13 15:06:23,2025-12-13 15:06:23
310,66,310,4,355,24.12,0,2025-12-13 15:06:23,2025-12-13 15:06:23
311,66,311,4,472,32.07,1,2025-12-13 15:06:23,2025-12-13 15:06:23
312,67,312,25,2904,36.92,0,2025-12-13 15:06:23,2025-12-13 15:06:23
313,67,313,4,548,6.97,0,2025-12-13 15:06:23,2025-12-13 15:06:23
314,67,314,4,4153,52.8,1,2025-12-13 15:06:23,2025-12-13 15:06:23
315,67,315,4,260,3.31,0,2025-12-13 15:06:23,2025-12-13 15:06:23
316,68,316,6,3215,20.9,0,2025-12-13 15:06:23,2025-12-13 15:06:23
317,68,317,31,5704,37.08,0,2025-12-13 15:06:23,2025-12-13 15:06:23
318,68,318,4,160,1.04,0,2025-12-13 15:06:23,2025-12-13 15:06:23
319,68,319,4,6303,40.98,1,2025-12-13 15:06:23,2025-12-13 15:06:23
320,69,253,13,5837,11.42,0,2025-12-13 18:01:14,2025-12-13 18:01:14
321,69,254,28,20946,40.98,1,2025-12-13 18:01:14,2025-12-13 18:01:14
